model_version,majority_bps,threshold_fraction,q,n,coalition_fraction_requested,coalition_size,coalition_fraction_realized,honest_turnout,correct_rate,wrong_rate,void_rate,expected_attack_profit_eth,attack_profit_ci95_low_eth,attack_profit_ci95_high_eth,expected_failed_slashing_eth,success_benefit_if_wrong_eth,refundable_stake_principal_eth,nonref_identity_fee_eth,capital_opportunity_cost_eth,gas_cost_eth,coordination_cost_eth,reps
stake-vote-econ-v2.0.0,6500,0.65,0.8,9,0.4,4,0.4444444444444444,0.6,0.0,0.61,0.39,3.379434442270059,2.9463913526256484,3.8124775319144697,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,9,0.4,4,0.4444444444444444,1.0,0.0,0.305,0.695,1.6074344422700588,1.169654056539207,2.0452148280009106,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,21,0.0,0,0.0,0.6,0.92,0.0,0.08,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,21,0.0,0,0.0,1.0,0.955,0.0,0.045,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,21,0.25,5,0.23809523809523808,0.6,0.07,0.035,0.895,-0.6783458360513154,-0.9416192783792507,-0.41507239372338,0.35,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,21,0.25,5,0.23809523809523808,1.0,0.375,0.0,0.625,-2.4576712328767125,-2.7939931578027117,-2.1213493079507133,1.875,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,21,0.4,8,0.38095238095238093,0.6,0.0,0.265,0.735,1.3305543102255433,0.8121926699531747,1.8489159504979118,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,21,0.4,8,0.38095238095238093,1.0,0.0,0.04,0.96,-0.5462739726027396,-0.7887031872874869,-0.30384475791799226,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,9,0.0,0,0.0,0.6,0.385,0.07,0.545,0.35,0.17274845401869177,0.5272515459813082,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,9,0.0,0,0.0,1.0,0.195,0.02,0.785,0.1,0.0027414986728563073,0.1972585013271437,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
