model_version,case,outcome,sum_net_wei,expected_sum_net_wei,deviation_wei
stake-vote-econ-v2.0.0,186,wrong,0,0,0
stake-vote-econ-v2.0.0,187,wrong,0,0,0
stake-vote-econ-v2.0.0,188,correct,0,0,0
stake-vote-econ-v2.0.0,189,void,0,0,0
stake-vote-econ-v2.0.0,190,wrong,0,0,0
stake-vote-econ-v2.0.0,191,void,0,0,0
stake-vote-econ-v2.0.0,192,wrong,0,0,0
stake-vote-econ-v2.0.0,193,correct,0,0,0
stake-vote-econ-v2.0.0,194,void,0,0,0
stake-vote-econ-v2.0.0,195,wrong,0,0,0
stake-vote-econ-v2.0.0,196,correct,0,0,0
stake-vote-econ-v2.0.0,197,void,0,0,0
stake-vote-econ-v2.0.0,198,wrong,0,0,0
stake-vote-econ-v2.0.0,199,void,0,0,0
stake-vote-econ-v2.0.0,200,wrong,0,0,0
stake-vote-econ-v2.0.0,201,void,0,0,0
stake-vote-econ-v2.0.0,202,void,0,0,0
stake-vote-econ-v2.0.0,203,correct,0,0,0
stake-vote-econ-v2.0.0,204,wrong,0,0,0
stake-vote-econ-v2.0.0,205,void,0,0,0
stake-vote-econ-v2.0.0,206,void,0,0,0
stake-vote-econ-v2.0.0,207,correct,0,0,0
stake-vote-econ-v2.0.0,208,correct,0,0,0
stake-vote-econ-v2.0.0,209,correct,0,0,0
stake-vote-econ-v2.0.0,210,void,0,0,0
stake-vote-econ-v2.0.0,211,wrong,0,0,0
stake-vote-econ-v2.0.0,212,correct,0,0,0
stake-vote-econ-v2.0.0,213,wrong,0,0,0
stake-vote-econ-v2.0.0,214,wrong,0,0,0
stake-vote-econ-v2.0.0,215,correct,0,0,0
stake-vote-econ-v2.0.0,216,wrong,0,0,0
stake-vote-econ-v2.0.0,217,correct,0,0,0
stake-vote-econ-v2.0.0,218,wrong,0,0,0
stake-vote-econ-v2.0.0,219,void,0,0,0
stake-vote-econ-v2.0.0,220,wrong,0,0,0
stake-vote-econ-v2.0.0,221,void,0,0,0
stake-vote-econ-v2.0.0,222,void,0,0,0
stake-vote-econ-v2.0.0,223,void,0,0,0
stake-vote-econ-v2.0.0,224,wrong,0,0,0
stake-vote-econ-v2.0.0,225,void,0,0,0
